Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|05/01/2023|Vente|1070000,00|184||ALL|0124|DES HETRES|1630|ST-GENIS-POUILLY|01|354||BD|334||29||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/01/2023|Vente|1070000,00|159||ALL|0124|DES HETRES|1630|ST-GENIS-POUILLY|01|354||BD|336||8||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/01/2023|Vente|1070000,00|159||ALL|0124|DES HETRES|1630|ST-GENIS-POUILLY|01|354||BD|336||22||||||||||1|2|Appartement||233|8|||
|||||||000001|03/01/2023|Vente|152200,00|2914||RTE|0107|DE PONCIN|1450|SERRIERES-SUR-AIN|01|404||D|2317||||||||||||0|1|Maison||64|3|S||988
|||||||000001|05/01/2023|Vente|269000,00|427|T|CHE|0040|DE L'AUBEPIN|1800|SAINT-JEAN-DE-NIOST|01|361||B|2405||||||||||||0|1|Maison||73|3|S||835
|||||||000001|05/01/2023|Vente|269000,00|427|T|CHE|0040|DE L'AUBEPIN|1800|SAINT-JEAN-DE-NIOST|01|361||B|2405||||||||||||0|3|Dépendance||0|0|S||835
|||||||000001|05/01/2023|Vente|269000,00|427|T|CHE|0040|DE L'AUBEPIN|1800|SAINT-JEAN-DE-NIOST|01|361||B|2405||||||||||||0|3|Dépendance||0|0|S||835
|||||||000001|03/01/2023|Vente|770000,00|159|A|RUE|0151|DU PARC DE VILLARD|1210|ORNEX|01|281||AD|41||||||||||||0|1|Maison||136|7|S||921
|||||||000001|06/01/2023|Vente|6820,00||||B062|ETANG DU BOIS|1480|VILLENEUVE|01|446||ZL|19||||||||||||0||||||T||17050
|||||||000002|06/01/2023|Echange|10040,00||||B044|CARRE ROCHER|1500|AMBERIEU-EN-BUGEY|01|4||AV|900||||||||||||0||||||BT||124
|||||||000002|06/01/2023|Echange|10040,00||||B044|CARRE ROCHER|1500|AMBERIEU-EN-BUGEY|01|4||AV|934||||||||||||0||||||S||127
|||||||000003|06/01/2023|Echange|12642,00||||B044|CARRE ROCHER|1500|AMBERIEU-EN-BUGEY|01|4||AV|935||||||||||||0||||||P||187
|||||||000003|06/01/2023|Echange|12642,00||||B044|CARRE ROCHER|1500|AMBERIEU-EN-BUGEY|01|4||AV|936||||||||||||0||||||P||263
|||||||000003|06/01/2023|Vente|85520,00||||B112|VACAGNOLE|1340|ATTIGNAT|01|24||AI|123||||||||||||0||||||P||63
|||||||000003|06/01/2023|Vente|85520,00|41||CHE|0380|DE LA CROIX DE VACAGNOLE|1340|ATTIGNAT|01|24||AI|127||||||||||||0|3|Dépendance||0|0|||
|||||||000003|06/01/2023|Vente|85520,00|41||CHE|0380|DE LA CROIX DE VACAGNOLE|1340|ATTIGNAT|01|24||AI|127||||||||||||0|1|Maison||160|5|||
|||||||000001|04/01/2023|Vente|335000,00|352||RUE|0100|DU VERGER|1130|ECHALLON|01|152||AC|166||||||||||||0|1|Maison||106|6|S||1500
|||||||000001|04/01/2023|Vente|335000,00|352||RUE|0100|DU VERGER|1130|ECHALLON|01|152||AC|166||||||||||||0|1|Maison||106|6|P||778
|||||||000001|04/01/2023|Vente|8500,00||||B122|PETIT SIMANDRE|1250|SIMANDRE-SUR-SURAN|01|408||C|1133||||||||||||0||||||S||159
|||||||000001|04/01/2023|Vente|209000,00|51||AV|2420|MAGINOT|1000|BOURG-EN-BRESSE|01|53||AC|528||22||||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2023|Vente|209000,00|51||AV|2420|MAGINOT|1000|BOURG-EN-BRESSE|01|53||AC|528||1||36||||||||2|3|Dépendance||0|0|||
|||||||000001|04/01/2023|Vente|209000,00|51||AV|2420|MAGINOT|1000|BOURG-EN-BRESSE|01|53||AC|528||1||36||||||||2|2|Appartement||68|3|||
|||||||000001|03/01/2023|Vente|325000,00|6021|||B020|EN BONNE TEMPS|1140|SAINT-DIDIER-SUR-CHALARONNE|01|348||YB|160||||||||||||0|1|Maison||70|4|S||403
|||||||000001|03/01/2023|Vente|325000,00||||B020|EN BONNE TEMPS|1140|SAINT-DIDIER-SUR-CHALARONNE|01|348||YB|161||||||||||||0||||||S||606
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2772||||||||||||0||||||S||20
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2773||||||||||||0||||||S||15
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2774||||||||||||0||||||AG||95
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2775||||||||||||0||||||AG||6
|||||||000001|04/01/2023|Vente|430000,00|212|B|CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2776||||||||||||0|2|Appartement||51|2|S||89
|||||||000001|04/01/2023|Vente|430000,00|212|B|CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2776||||||||||||0|3|Dépendance||0|0|S||89
|||||||000001|04/01/2023|Vente|430000,00|212|B|CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2776||||||||||||0|2|Appartement||51|3|S||89
|||||||000001|04/01/2023|Vente|430000,00|212|B|CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2776||||||||||||0|3|Dépendance||0|0|S||89
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2777||||||||||||0||||||S||51
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2778||||||||||||0||||||S||9
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2779||||||||||||0||||||S||109
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2780||||||||||||0||||||S||4
|||||||000001|04/01/2023|Vente|430000,00|212||CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2781||||||||||||0|3|Dépendance||0|0|S||99
|||||||000001|04/01/2023|Vente|430000,00|212||CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2781||||||||||||0|3|Dépendance||0|0|S||99
|||||||000001|04/01/2023|Vente|430000,00|212||CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2781||||||||||||0|3|Dépendance||0|0|S||99
|||||||000001|04/01/2023|Vente|430000,00|212||CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2781||||||||||||0|3|Dépendance||0|0|S||99
|||||||000001|04/01/2023|Vente|430000,00|212||CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2781||||||||||||0|2|Appartement||48|2|S||99
|||||||000001|04/01/2023|Vente|430000,00|212||CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2781||||||||||||0|2|Appartement||40|2|S||99
|||||||000001|04/01/2023|Vente|430000,00|212||CHE|0083|DU MAS FALCON|1160|PRIAY|01|314||D|2781||||||||||||0|2|Appartement||40|2|S||99
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2782||||||||||||0||||||S||77
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2783||||||||||||0||||||S||19
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2784||||||||||||0||||||S||26
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2785||||||||||||0||||||S||220
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2786||||||||||||0||||||S||5
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2787||||||||||||0||||||S||246
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2788||||||||||||0||||||S||8
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2789||||||||||||0||||||S||1
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2790||||||||||||0||||||S||17
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2791||||||||||||0||||||AG||36
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2792||||||||||||0||||||AG||347
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2793||||||||||||0||||||AG||85
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2794||||||||||||0||||||AG||83
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2795||||||||||||0||||||AG||204
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2796||||||||||||0||||||AG||7
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2797||||||||||||0||||||AG||8
|||||||000001|04/01/2023|Vente|430000,00||||B163|LES VALETTES|1160|PRIAY|01|314||D|2798||||||||||||0||||||AG||10
